cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,length
NTPC,NTPC-DEMO-BCCAC2,GATE VALVE 6IN WCB TRIM SS316 CLASS 150 FLANGED,EACH,CAT-VLV,Gate Valve,KITZ,GT-150-SS,,6 inch,150#,,,,,,,WCB,,,
NTPC,NTPC-DEMO-67E727,GATE VALVE 6IN WCB TRIM SS316 CLASS 300 FLANGED,EACH,CAT-VLV,Gate Valve,KITZ,GT-300-SS,,6 inch,300#,,,,,,,WCB,,,
ONGC,ONGC-DEMO-3CD976,SKF DEEP GROOVE BALL BEARING 6205-2RS 25MM X 52MM X 15MM,EACH,CAT-BRG,Ball Bearing,SKF,6205-2RS,,,,,,,,,2RS,,,,
SAIL,SAIL-DEMO-4629A0,BRG BALL DEEP GROOVE 6205-2RS SKF,EACH,CAT-BRG,Ball Bearing,SKF,6205-2RS,,,,,,,,,2RS,,,,
IOCL,IOCL-DEMO-FA2B8A,6205-2RS BEARING SKF,EACH,CAT-BRG,Ball Bearing,SKF,6205-2RS,,,,,,,,,2RS,,,,
NTPC,NTPC-DEMO-80E6DE,CARBON STEEL PIPE SEAMLESS 10 INCH LENGTH 6M,EACH,CAT-PIP,Carbon Steel Pipe,Jindal,PIP-CS-10,,,,,,,10 inch,,,,,,6 M
BHEL,BHEL-DEMO-BC5B1B,AC MOTOR 1.5KW 415V 50HZ 1500RPM TEFC SIEMENS,EACH,CAT-MTR,AC Motor,Siemens,1LA7090-4AA10,,,,415 V,1.5 KW,50 HZ,,,,,,,
BHEL,BHEL-DEMO-158645,MOTOR AC 1.5KW 415V 50HZ 1500RPM IP55 ABB,EACH,CAT-MTR,AC Motor,ABB,M2QA090L4A,,,,415 V,1.5 KW,50 HZ,,,,,,,
SAIL,SAIL-DEMO-4EF40E,HEX BOLT M10 X 50MM SS304 CLASS 8.8,EACH,CAT-FST,Bolts,Bossard,HX-M10-50,,M10,,,,,,,,,,,
SAIL,SAIL-DEMO-24AB19,BOLT HEX M10 50MM SS304,EACH,CAT-FST,Bolts,Bossard,HX-M10-50,,M10,,,,,,,,,,,
ONGC,ONGC-DEMO-2E166E,BEARING FAG X5H5L8D5V67N (E.G. 6204-2RS1/C3) 1357 INCH 962 MM 387 MM Z,EACH,CAT-BRG,Bearing,FAG,X5H5L8D5V67N (e.g. 6204-2RS1/C3),,,,,,,,,Z,,,,
IOCL,IOCL-DEMO-F8FDCE,CABLE LAPP 6TGIC X 2HSK SQMM IV46/9BS1 U49C 49 EACH 872.47 AWG 1.1KV PVC,EACH,CAT-CBL,Cable,LAPP,6TGIC x 2HSK sqmm IV46/9BS1 U49C,,,,,,,,,,,,,
IOCL,IOCL-DEMO-2BA867,CABLE PRYSMIAN JC3DC X RF3O SQMM QB9W/DLQ9 4U8V 29 EACH 34.13 AWG 66KV RUBBER,EACH,CAT-CBL,Cable,Prysmian,JC3DC x RF3O sqmm QB9W/DLQ9 4U8V,,,,,,,,,,,,,
ONGC,ONGC-DEMO-8A1B1C,FLANGE GALPERTI ITM0-2BMJ-UDO1-OOXG-BIY5 64.05 MM 600# LAP JOINT RAISED FACE (RF),EACH,CAT-FLG,Flange,Galperti,ITM0-2BMJ-UDO1-OOXG-BIY5,,64.05 mm,600#,,,,,,,,,,
ONGC,ONGC-DEMO-9A9911,VALVE KITZ 0H7J-VWMY-OB8Y-PB5V-K2EZ-0Y52 39.5 INCH 900# BRONZE SOCKET WELD,EACH,CAT-VLV,Valve,KITZ,0H7J-VWMY-OB8Y-PB5V-K2EZ-0Y52,,39.5 inch,900#,,,,,,,Bronze,,Socket Weld,
