procurement_id,cpse_code,material_code,supplier,quantity,unit_price,total_spend,uom,procurement_date,plant
PR-99DBD760,NTPC,NTPC-DEMO-BCCAC2,Supplier_A,5,1200.0,6000.0,EACH,2025-01-15,PLANT-5
PR-4D287198,NTPC,NTPC-DEMO-67E727,Supplier_E,2,2500.0,5000.0,EACH,2025-02-10,PLANT-5
PR-01EE40C4,ONGC,ONGC-DEMO-3CD976,Supplier_D,100,45.0,4500.0,EACH,2025-03-01,PLANT-4
PR-9DBD9BFB,SAIL,SAIL-DEMO-4629A0,Supplier_B,500,15.0,7500.0,EACH,2025-03-15,PLANT-3
PR-F5015749,IOCL,IOCL-DEMO-FA2B8A,Supplier_A,50,65.0,3250.0,EACH,2025-03-20,PLANT-2
PR-8394B81A,NTPC,NTPC-DEMO-80E6DE,Supplier_B,20,800.0,16000.0,EACH,2025-04-01,PLANT-3
PR-1D175655,BHEL,BHEL-DEMO-BC5B1B,Supplier_E,5,4500.0,22500.0,EACH,2025-05-01,PLANT-1
PR-0048BD7E,BHEL,BHEL-DEMO-158645,Supplier_C,3,4400.0,13200.0,EACH,2025-05-15,PLANT-4
PR-E21196A9,SAIL,SAIL-DEMO-4EF40E,Supplier_B,1000,1.2,1200.0,EACH,2025-06-01,PLANT-4
PR-2729060D,SAIL,SAIL-DEMO-24AB19,Supplier_A,500,1.25,625.0,EACH,2025-06-15,PLANT-3
PR-CB0773E9,ONGC,ONGC-DEMO-2E166E,Supplier_B,36,4252.02,153072.72,EACH,2025-06-02,PLANT-4
PR-C8C5D675,IOCL,IOCL-DEMO-2BA867,Supplier_B,96,3069.63,294684.48,EACH,2025-06-02,PLANT-4
PR-265C3D4C,ONGC,ONGC-DEMO-8A1B1C,Supplier_A,14,2716.51,38031.14,EACH,2025-03-11,PLANT-4
PR-541A27C0,IOCL,IOCL-DEMO-36FBEA,Supplier_A,3,2604.4,7813.2,EACH,2025-03-16,PLANT-3
PR-FD45E543,ONGC,ONGC-DEMO-0DD6E4,Supplier_A,26,4647.81,120843.06,EACH,2025-05-08,PLANT-3
PR-28F465D4,BHEL,BHEL-DEMO-95A976,Supplier_D,78,569.78,44442.84,EACH,2025-10-16,PLANT-2
PR-035F0E26,IOCL,IOCL-DEMO-B4DC75,Supplier_D,61,3209.62,195786.82,EACH,2025-03-06,PLANT-4
PR-84F53EB2,NTPC,NTPC-DEMO-B3FC2E,Supplier_C,33,924.12,30495.96,EACH,2025-08-10,PLANT-5
PR-2131A8B5,NTPC,NTPC-DEMO-EC95F0,Supplier_C,81,1122.62,90932.22,EACH,2025-03-07,PLANT-3
PR-6B5C6DBE,ONGC,ONGC-DEMO-0AFD8E,Supplier_E,9,1990.89,17918.01,EACH,2025-04-11,PLANT-2
PR-31462860,SAIL,SAIL-DEMO-6FB064,Supplier_D,15,2382.78,35741.7,EACH,2025-11-24,PLANT-1
PR-48F18D0D,IOCL,IOCL-DEMO-903F6E,Supplier_A,41,3939.5,161519.5,EACH,2025-12-17,PLANT-3
PR-A18F49AA,SAIL,SAIL-DEMO-F723F9,Supplier_A,34,1057.23,35945.82,EACH,2025-01-10,PLANT-3
PR-08D8FCD5,BHEL,BHEL-DEMO-95C3FB,Supplier_B,59,1441.94,85074.46,EACH,2025-02-25,PLANT-1
PR-3F0B23EC,NTPC,NTPC-DEMO-AC427D,Supplier_B,68,3080.34,209463.12,EACH,2025-10-09,PLANT-3
PR-35F0DAD2,SAIL,SAIL-DEMO-A05DD6,Supplier_A,13,2907.1,37792.3,EACH,2025-07-08,PLANT-5
PR-C76865A6,BHEL,BHEL-DEMO-FF5010,Supplier_C,4,3023.87,12095.48,EACH,2025-09-06,PLANT-1
PR-EFC461A1,BHEL,BHEL-DEMO-CEDC7D,Supplier_B,16,3135.45,50167.2,EACH,2025-02-16,PLANT-1
PR-DC77CD2F,NTPC,NTPC-DEMO-38DF0F,Supplier_C,46,4161.13,191411.98,EACH,2025-12-14,PLANT-3
PR-6B3BD6E3,IOCL,IOCL-DEMO-685F7A,Supplier_E,79,3955.44,312479.76,EACH,2025-08-11,PLANT-5
PR-2B9D1DE1,IOCL,IOCL-DEMO-1C431F,Supplier_C,70,159.1,11137.0,EACH,2025-12-05,PLANT-2
