pair_id,source_template_category,true_label,record_A_mat_code,record_B_mat_code,reason
56b497f5-368e-4d9a-a2e5-44fc45c3b00e,CAT-BRG,EXACT_DUPLICATE,CPI-SYN-266067,CPI-SYN-820182,Identical MPN and specs
ed0ad39c-d48e-48e8-ad41-f810174feb86,CAT-BRG,EXACT_DUPLICATE,AHM-SYN-730241,AHM-SYN-277037,Identical MPN and specs
dc4b0d4a-67e3-433d-ada4-8e3a34bdd51c,CAT-PMP,EXACT_DUPLICATE,CPI-SYN-308370,GME-SYN-712299,Identical MPN and specs
1291a2fe-a985-4534-85d2-acfcee8708ca,CAT-CBL,EXACT_DUPLICATE,CPI-SYN-333915,AHM-SYN-468466,Identical MPN and specs
4bd67144-7504-4966-a524-521214cad1da,CAT-MTR,EXACT_DUPLICATE,AHM-SYN-663101,AHM-SYN-344076,Identical MPN and specs
a5d89ac6-9084-4d21-b8a0-ccaa2d1156d6,CAT-BRG,EXACT_DUPLICATE,GME-SYN-226370,NEC-SYN-226209,Identical MPN and specs
073fd74d-7c5b-4118-9b88-af70c7ee690c,CAT-LUB,EXACT_DUPLICATE,AHM-SYN-780672,AHM-SYN-794539,Identical MPN and specs
b4023e88-4b5e-420c-9d80-97ef679930a3,CAT-GSK,EXACT_DUPLICATE,GME-SYN-729833,BUS-SYN-655943,Identical MPN and specs
4b42157f-cb93-44a5-83c7-f29432b583a1,CAT-MTR,EXACT_DUPLICATE,BUS-SYN-277135,NEC-SYN-218390,Identical MPN and specs
80143908-5199-4873-9553-a024d25d2f7e,CAT-FLG,EXACT_DUPLICATE,BUS-SYN-701212,AHM-SYN-124887,Identical MPN and specs
620915f7-d5ff-4ed8-bac6-9e7605208a42,CAT-VLV,EXACT_DUPLICATE,CPI-SYN-264107,NEC-SYN-613283,Identical MPN and specs
643d6fac-24bf-4c7c-8c82-1d169782484e,CAT-MTR,EXACT_DUPLICATE,GME-SYN-827156,GME-SYN-181763,Identical MPN and specs
546d1182-6219-4e77-b78b-6ceb340cf867,CAT-FLG,EXACT_DUPLICATE,AHM-SYN-418413,NEC-SYN-430569,Identical MPN and specs
79dcdbce-eef8-423a-8fc9-9f1869d18130,CAT-PIP,EXACT_DUPLICATE,AHM-SYN-774701,BUS-SYN-721743,Identical MPN and specs
b821263d-a589-44bb-b33f-53684bc03513,CAT-PPE,EXACT_DUPLICATE,AHM-SYN-626052,BUS-SYN-620293,Identical MPN and specs
42bf0587-17f3-448a-a577-944e52fc937d,CAT-PPE,EXACT_DUPLICATE,GME-SYN-637488,BUS-SYN-897137,Identical MPN and specs
9163fda8-720f-4430-ae08-88e34518bccd,CAT-PMP,EXACT_DUPLICATE,CPI-SYN-905778,NEC-SYN-130105,Identical MPN and specs
d057fb9c-9f74-483f-b114-360b8684a686,CAT-FST,EXACT_DUPLICATE,GME-SYN-554826,NEC-SYN-957409,Identical MPN and specs
61f55fd3-39b3-4b34-8c3a-18863c9f364b,CAT-CBL,EXACT_DUPLICATE,GME-SYN-641811,GME-SYN-121305,Identical MPN and specs
e4fc002c-ca3c-4927-b7e9-73fb30ba19e0,CAT-LUB,EXACT_DUPLICATE,NEC-SYN-225900,AHM-SYN-810478,Identical MPN and specs
230b6063-559b-44f6-a340-ca38e7542043,CAT-MTR,EXACT_DUPLICATE,NEC-SYN-125839,GME-SYN-531462,Identical MPN and specs
d2c2a120-70b8-4d6c-aa3e-6d7fce4858c4,CAT-PMP,EXACT_DUPLICATE,BUS-SYN-413361,GME-SYN-582403,Identical MPN and specs
77b4138b-8b5b-4bfc-a672-ea5199c837e6,CAT-FLG,EXACT_DUPLICATE,NEC-SYN-956045,AHM-SYN-419565,Identical MPN and specs
