procurement_id,cpse_code,material_code,supplier,quantity,unit_price,total_spend,uom,procurement_date,plant
PROC-SYN-6119D545,AHM,AHM-SYN-813328,SYNTHETIC_SUPPLIER_ZB,49,3526.99,172822.51,EACH,2020-08-18,PLANT-1
PROC-SYN-9EAA678A,AHM,AHM-SYN-813328,SYNTHETIC_SUPPLIER_VB,91,3717.93,338331.63,EACH,2021-10-17,PLANT-1
PROC-SYN-DEB3A343,CPI,CPI-SYN-392004,SYNTHETIC_SUPPLIER_WB,75,217.03,16277.25,EACH,2022-01-03,PLANT-4
PROC-SYN-C393906E,CPI,CPI-SYN-392004,SYNTHETIC_SUPPLIER_CB,54,204.69,11053.26,EACH,2022-02-12,PLANT-4
PROC-SYN-2E8B1807,CPI,CPI-SYN-392004,SYNTHETIC_SUPPLIER_DB,22,218.24,4801.28,EACH,2022-06-06,PLANT-4
PROC-SYN-8BAAF58C,BUS,BUS-SYN-153045,SYNTHETIC_SUPPLIER_XB,45,1261.38,56762.1,EACH,2021-04-09,PLANT-5
PROC-SYN-7DBA3E6C,AHM,AHM-SYN-221035,SYNTHETIC_SUPPLIER_PB,35,848.95,29713.25,EACH,2020-10-10,PLANT-1
PROC-SYN-DF37CC38,AHM,AHM-SYN-221035,SYNTHETIC_SUPPLIER_GA,77,747.05,57522.85,EACH,2020-06-04,PLANT-1
PROC-SYN-E5454892,AHM,AHM-SYN-221035,SYNTHETIC_SUPPLIER_NA,35,740.62,25921.7,EACH,2021-01-18,PLANT-1
PROC-SYN-007F1D3C,BUS,BUS-SYN-750810,SYNTHETIC_SUPPLIER_KA,50,532.07,26603.5,EACH,2024-08-27,PLANT-2
PROC-SYN-DC97B5DD,BUS,BUS-SYN-750810,SYNTHETIC_SUPPLIER_OB,46,561.7,25838.2,EACH,2024-03-03,PLANT-2
PROC-SYN-A6A00C38,BUS,BUS-SYN-750810,SYNTHETIC_SUPPLIER_WB,99,510.02,50491.98,EACH,2021-12-21,PLANT-2
PROC-SYN-737BCEF1,BUS,BUS-SYN-725550,SYNTHETIC_SUPPLIER_EB,47,282.28,13267.16,EACH,2020-06-03,PLANT-4
PROC-SYN-7D87EBFC,GME,GME-SYN-355836,SYNTHETIC_SUPPLIER_SB,80,394.74,31579.2,EACH,2026-06-22,PLANT-2
PROC-SYN-BD7B85BE,GME,GME-SYN-355836,SYNTHETIC_SUPPLIER_XA,18,376.33,6773.94,EACH,2020-10-31,PLANT-2
PROC-SYN-3926BB4C,GME,GME-SYN-355836,SYNTHETIC_SUPPLIER_TA,50,396.3,19815.0,EACH,2024-01-18,PLANT-2
PROC-SYN-64AE654C,BUS,BUS-SYN-452457,SYNTHETIC_SUPPLIER_FA,20,218.96,4379.2,EACH,2024-06-17,PLANT-4
PROC-SYN-A7AECDA2,BUS,BUS-SYN-452457,SYNTHETIC_SUPPLIER_UB,43,215.8,9279.4,EACH,2022-05-25,PLANT-4
PROC-SYN-C7FF5C2F,BUS,BUS-SYN-452457,SYNTHETIC_SUPPLIER_OB,26,191.36,4975.36,EACH,2022-03-31,PLANT-4
PROC-SYN-63C6CCFE,NEC,NEC-SYN-801978,SYNTHETIC_SUPPLIER_AA,33,3271.01,107943.33,EACH,2022-10-06,PLANT-1
PROC-SYN-6FE0E175,AHM,AHM-SYN-113266,SYNTHETIC_SUPPLIER_XB,79,4437.95,350598.05,EACH,2023-01-25,PLANT-4
PROC-SYN-43CF2023,BUS,BUS-SYN-472060,SYNTHETIC_SUPPLIER_KA,76,4659.83,354147.08,EACH,2021-08-03,PLANT-3
PROC-SYN-345D47C5,BUS,BUS-SYN-472060,SYNTHETIC_SUPPLIER_RB,56,4129.29,231240.24,EACH,2020-04-19,PLANT-3
PROC-SYN-7F1E7DED,BUS,BUS-SYN-472060,SYNTHETIC_SUPPLIER_DA,40,4726.74,189069.6,EACH,2023-03-15,PLANT-3
PROC-SYN-AC80844D,AHM,AHM-SYN-384076,SYNTHETIC_SUPPLIER_EA,80,4183.83,334706.4,EACH,2025-02-17,PLANT-3
PROC-SYN-8BF3E7B1,GME,GME-SYN-457256,SYNTHETIC_SUPPLIER_JA,39,4575.8,178456.2,EACH,2022-06-21,PLANT-2
PROC-SYN-0C3FDD13,GME,GME-SYN-457256,SYNTHETIC_SUPPLIER_YA,22,3944.44,86777.68,EACH,2023-05-09,PLANT-2
PROC-SYN-13F3272E,GME,GME-SYN-457256,SYNTHETIC_SUPPLIER_AA,83,3972.17,329690.11,EACH,2025-01-04,PLANT-2
PROC-SYN-26B4AD8E,GME,GME-SYN-351516,SYNTHETIC_SUPPLIER_UA,28,4038.4,113075.2,EACH,2024-09-12,PLANT-2
PROC-SYN-8A3935CC,GME,GME-SYN-351516,SYNTHETIC_SUPPLIER_JB,95,4205.72,399543.4,EACH,2020-03-25,PLANT-2
PROC-SYN-C75DCDFD,GME,GME-SYN-351516,SYNTHETIC_SUPPLIER_RA,99,3743.06,370562.94,EACH,2021-11-20,PLANT-2
PROC-SYN-6D208D18,CPI,CPI-SYN-833723,SYNTHETIC_SUPPLIER_TA,20,1418.5,28370.0,EACH,2021-04-18,PLANT-4
PROC-SYN-52D214F4,AHM,AHM-SYN-197736,SYNTHETIC_SUPPLIER_SB,94,1889.43,177606.42,EACH,2024-10-17,PLANT-2
PROC-SYN-B4D5F041,AHM,AHM-SYN-197736,SYNTHETIC_SUPPLIER_QB,44,1860.09,81843.96,EACH,2021-10-01,PLANT-2
PROC-SYN-44EB1D93,GME,GME-SYN-461888,SYNTHETIC_SUPPLIER_AB,68,2351.59,159908.12,EACH,2023-09-26,PLANT-3
PROC-SYN-EE0EAA91,BUS,BUS-SYN-781403,SYNTHETIC_SUPPLIER_TA,70,2321.48,162503.6,EACH,2023-12-30,PLANT-1
PROC-SYN-60268AE2,BUS,BUS-SYN-781403,SYNTHETIC_SUPPLIER_SB,22,2548.34,56063.48,EACH,2020-05-20,PLANT-1
PROC-SYN-7070A435,BUS,BUS-SYN-781403,SYNTHETIC_SUPPLIER_EB,77,2560.38,197149.26,EACH,2021-12-25,PLANT-1
PROC-SYN-75F4F3F1,GME,GME-SYN-751051,SYNTHETIC_SUPPLIER_TB,46,3621.78,166601.88,EACH,2020-04-10,PLANT-3
PROC-SYN-A08AF4EC,GME,GME-SYN-751051,SYNTHETIC_SUPPLIER_WB,78,4167.21,325042.38,EACH,2024-10-27,PLANT-3
PROC-SYN-52E8C8E0,CPI,CPI-SYN-780776,SYNTHETIC_SUPPLIER_EB,94,839.2,78884.8,EACH,2023-05-16,PLANT-4
PROC-SYN-A82A6B51,CPI,CPI-SYN-780776,SYNTHETIC_SUPPLIER_CA,33,834.19,27528.27,EACH,2021-01-21,PLANT-4
PROC-SYN-3BEBBD0C,GME,GME-SYN-171942,SYNTHETIC_SUPPLIER_XB,93,4595.7,427400.1,EACH,2026-02-07,PLANT-5
PROC-SYN-6A8B1A9C,AHM,AHM-SYN-580292,SYNTHETIC_SUPPLIER_VA,26,3902.83,101473.58,EACH,2024-11-23,PLANT-1
PROC-SYN-67D7D7EB,AHM,AHM-SYN-580292,SYNTHETIC_SUPPLIER_RB,67,4374.47,293089.49,EACH,2024-10-01,PLANT-1
PROC-SYN-609D1411,AHM,AHM-SYN-580292,SYNTHETIC_SUPPLIER_EA,91,4409.83,401294.53,EACH,2022-05-05,PLANT-1
PROC-SYN-DC28651E,GME,GME-SYN-248766,SYNTHETIC_SUPPLIER_ZA,78,403.79,31495.62,EACH,2025-11-21,PLANT-1
PROC-SYN-DB369239,GME,GME-SYN-248766,SYNTHETIC_SUPPLIER_KA,100,380.22,38022.0,EACH,2021-08-21,PLANT-1
PROC-SYN-37B131B5,AHM,AHM-SYN-656379,SYNTHETIC_SUPPLIER_HA,87,3886.27,338105.49,EACH,2023-02-16,PLANT-5
PROC-SYN-FC17BB9E,CPI,CPI-SYN-289630,SYNTHETIC_SUPPLIER_YB,12,1293.36,15520.32,EACH,2024-09-06,PLANT-5
PROC-SYN-987FCD3E,BUS,BUS-SYN-681478,SYNTHETIC_SUPPLIER_VB,24,4532.41,108777.84,EACH,2026-09-04,PLANT-1
PROC-SYN-4C8DBF2E,BUS,BUS-SYN-681478,SYNTHETIC_SUPPLIER_CA,85,4242.35,360599.75,EACH,2022-05-08,PLANT-1
PROC-SYN-6C62B72F,BUS,BUS-SYN-681478,SYNTHETIC_SUPPLIER_LB,61,4387.86,267659.46,EACH,2024-09-10,PLANT-1
PROC-SYN-5DB39B07,CPI,CPI-SYN-347459,SYNTHETIC_SUPPLIER_LA,91,4029.31,366667.21,EACH,2025-02-18,PLANT-3
PROC-SYN-2D80EF2E,CPI,CPI-SYN-347459,SYNTHETIC_SUPPLIER_WB,22,4704.28,103494.16,EACH,2022-07-10,PLANT-3
PROC-SYN-470AE120,CPI,CPI-SYN-347459,SYNTHETIC_SUPPLIER_BB,93,4718.38,438809.34,EACH,2022-06-23,PLANT-3
PROC-SYN-072B2928,CPI,CPI-SYN-411882,SYNTHETIC_SUPPLIER_OB,16,2989.65,47834.4,EACH,2020-11-23,PLANT-4
PROC-SYN-D791F4F6,CPI,CPI-SYN-411882,SYNTHETIC_SUPPLIER_HA,57,2967.96,169173.72,EACH,2025-08-23,PLANT-4
PROC-SYN-35427468,GME,GME-SYN-726543,SYNTHETIC_SUPPLIER_OA,42,3711.03,155863.26,EACH,2024-02-17,PLANT-4
PROC-SYN-DE278FB2,GME,GME-SYN-726543,SYNTHETIC_SUPPLIER_BA,25,3507.5,87687.5,EACH,2023-10-02,PLANT-4
PROC-SYN-CA2BE990,GME,GME-SYN-726543,SYNTHETIC_SUPPLIER_SB,93,3509.6,326392.8,EACH,2026-01-27,PLANT-4
