cpse_code,material_code,description,uom,category,subcategory,manufacturer,manufacturer_part_number,material_grade,size,pressure_class,voltage,power,frequency,diameter,schedule,seal_type,body_material,trim_material,end_connection,plant
NEC,NEC-SYN-900581,[SYN] PPE 388 0IFD-0TVB-DIVU-ZZPQ WHITE EN XXL 3M LEATHER,EACH,CAT-PPE,PPE,3M,0IFD-0TVB-DIVU-ZZPQ,,XXL,,,,,,,,,,,PLANT-3
NEC,NEC-SYN-983794,[SYN] INSTRUMENTATION HONEYWELL KW5N-GCX1-945N-Q4FM-YZYC 2603 PSI HART SANITARY 0.25%,EACH,CAT-INS,Instrumentation,Honeywell,KW5N-GCX1-945N-Q4FM-YZYC,,,,,,,,,,,,,PLANT-1
AHM,AHM-SYN-813328,[SYN] FASTENER BOSSARD HR5X-FF0TX0PVN-9ER1-4FFY 78 MM 202 INCH A4-80 UNC,EACH,CAT-FST,Fastener,Bossard,HR5X-FF0Tx0PVN-9ER1-4FFY,,,,,,,78 mm,,,,,,PLANT-1
CPI,CPI-SYN-955662,[SYN] CABLE LAPP FAZZC X 81SD SQMM W4SH/NF87 7VRE 47 EACH 239.83 MM2 66KV PVC,EACH,CAT-CBL,Cable,LAPP,FAZZC x 81SD sqmm W4SH/NF87 7VRE,,,,,,,,,,,,,PLANT-1
CPI,CPI-SYN-392004,[SYN] ELECTRICAL COMPONENT EATON 871Y-ZOYN-6QIC-ATVA 4459.43 A 240074 V 1P 28 KA,EACH,CAT-ELC,Electrical Component,Eaton,871Y-ZOYN-6QIC-ATVA,,,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-153045,[SYN] LUBRICANT TOTALENERGIES 3GDP PQ0Y 9DOM - 5IGQ ISO VG 220 PAG NLGI 1 454 L,EACH,CAT-LUB,Lubricant,TotalEnergies,3GDP PQ0Y 9DOM - 5IGQ,,,,,,,,,,,,,PLANT-5
GME,GME-SYN-159642,[SYN] ELECTRICAL KV A KA COMPONENT 368.54 1P 784321 132 EATON R56F-AO72-KZ02-XRGH,EACH,CAT-ELC,Electrical Component,Eaton,R56F-AO72-KZ02-XRGH,,,,,,,,,,,,,PLANT-5
AHM,AHM-SYN-221035,[SYN] PIPE ARCELORMITTAL 7HZI-OYKL-1CQ9-9CHJ-755N 19.35 MM STD ASTM A312 TP316L 7 FT,EACH,CAT-PIP,Pipe,ArcelorMittal,7HZI-OYKL-1CQ9-9CHJ-755N,ASTM A312 TP316L,,,,,,19.35 mm,STD,,,,,PLANT-1
BUS,BUS-SYN-750810,[SYN] GASKET KLINGER SJ6B-W3BM-E9FP-ZUE8-YFBN-TZBN 67.22 INCH 600# CNAF SOFT IRON,EACH,CAT-GSK,Gasket,Klinger,SJ6B-W3BM-E9FP-ZUE8-YFBN-TPBN,,67.22 inch,600#,,,,,,,,,,PLANT-2
BUS,BUS-SYN-725550,[SYN] INSTRUMENTATION YOKOGAWA FZNB-QH7M-35IX-OKC1-MSY4 5225 BAR 4-20MA 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,Yokogawa,FZNB-QH7M-35IX-OKC1-MSY4,,,,,,,,,,,,,PLANT-4
GME,GME-SYN-418635,[SYN] CABLE HAVELLS GBPSC X 3Y70 SQMM HP87/WXE6 SYLZ 71 EACH 192.24 AWG 3.3KV RUBBER,EACH,CAT-CBL,Cable,Havells,GBPSC x 3Y70 sqmm HP87/WXE6 SYLZ,,,,,,,,,,,,,PLANT-3
GME,GME-SYN-355836,[SYN] LUBRICANT MOBIL S280 XKXW D8IL - 3FB9 SAE 10W-40 ESTER NLGI 1 507 KG,EACH,CAT-LUB,Lubricant,Mobil,S280 XKXW D8IL - 3FB9,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-561239,[SYN] CABLE NEXANS G8SBC X I4Q2 SQMM Y9V8/6WZS 3T60 61 EACH 259.56 MM2 11KV XLPE,EACH,CAT-CBL,Cable,Nexans,G8SBC x I4Q2 sqmm Y9V8/6WZS 3T60,,,,,,,,,,,,,PLANT-1
BUS,BUS-SYN-452457,[SYN] CABLE NEXANS IYZCC X OTOH SQMM P6VZ/41NA M148 54 EACH 488.49 AWG 33KV PVC,EACH,CAT-CBL,Cable,Nexans,IYZCC x OTOH sqmm P6VZ/41NA M148,,,,,,,,,,,,,PLANT-4
NEC,NEC-SYN-801978,[SYN] MTR CROMPTON GREAVES VXDP-5GJL-QM5K-8P4Q-0B8I 686.28 KW 618 V 50 HZ 1500 RPM ODP,EACH,CAT-MTR,Motor,Crompton Greaves,VXDP-5GJL-QM5K-8P4Q-0B8I,,,,618 V,686.28 kW,50 HZ,,,,,,,PLANT-1
AHM,AHM-SYN-113266,[SYN] ELECTRICAL COMPONENT SCHNEIDER ELECTRIC 2FLU-7U6N-7HV3-IZKY 5074.85 A 364081 KV 3P 139 KA,EACH,CAT-ELC,Electrical Component,Schneider Electric,2FLU-7U6N-7HV3-IZKY,,,,,,,,,,,,,PLANT-4
BUS,BUS-SYN-472060,[SYN] LUBRICANT TOTALENERGIES GSXW 71Q3 VLI7 - KQ1U ISO VG 220 MINERAL NLGI 2 500 L,EACH,CAT-LUB,Lubricant,TotalEnergies,GSXW 71Q3 VLI7 - KQ1U,,,,,,,,,,,,,PLANT-3
AHM,AHM-SYN-384076,[SYN] BRNG FAG DZR1YXR2DHYL (E.G. 6204-2RS1/C3) 1194 INCH 979 INCH 221 INCH ZZ,EACH,CAT-BRG,Bearing,FAG,DZR1YXR2DHYL (e.g. 6204-2RS1/C3),,,,,,,,,ZZ,,,,PLANT-3
GME,GME-SYN-457256,[SYN] PMP SULZER 09SK-DGIG-ATJ9-TZE5 16086 M3/H 55 FT 2347.25 HP,EACH,CAT-PMP,Pump,Sulzer,09SK-DGIG-ATJ9-TZE5,,,,,2347.25 HP,,,,,,,,PLANT-2
GME,GME-SYN-351516,[SYN] CABLE LAPP CWBFC X UK9E SQMM 1V2I/SQP4 9KWV 95 EACH 947.62 MM2 3.3KV PVC,EACH,CAT-CBL,Cable,LAPP,CWBFC x UK9E sqmm 1V2I/SQP4 9KWV,,,,,,,,,,,,,PLANT-2
CPI,CPI-SYN-833723,[SYN] LUBRNCANT SHELL IZZQ Y72W X7PT - X63C ISO VG 46 SILICONE NLGI 3 480 KG,EACH,CAT-LUB,Lubricant,Shell,IZZQ Y72W X7PT - X63C,,,,,,,,,,,,,PLANT-4
CPI,CPI-SYN-802685,[SYN] PUMP ITT GOULDS JD84-U89Y-JB1Q-X6GV 16113 M3/H 1930 FT 2042.04 HP,EACH,CAT-PMP,Pump,ITT Goulds,JD84-U89Y-JB1Q-X6GV,,,,,2042.04 HP,,,,,,,,PLANT-1
AHM,AHM-SYN-197736,[SYN] INSTRUMENTATION ROSEMOUNT QLL8-OS9X-TOGN-1W1H-T7PZ 1789 BAR 0-10V 1/4 NPT 0.1%,EACH,CAT-INS,Instrumentation,Rosemount,QLL8-OS9X-TOGN-1W1H-T7PZ,,,,,,,,,,,,,PLANT-2
GME,GME-SYN-461888,[SYN] ELECTRICAL COMPONENT SIEMENS SJ49-ITN7-S55J-2O7S 5169.48 KA 761331 KV 4P 124 KA,EACH,CAT-ELC,Electrical Component,Siemens,SJ49-ITN7-S55J-2O7S,,,,,,,,,,,,,PLANT-3
BUS,BUS-SYN-781403,[SYN] FASTENER KAMAX I1B0-Z3NXX39RB-SV55-PSQ0 54 MM 43 INCH L7 UNC,EACH,CAT-FST,Fastener,Kamax,I1B0-Z3NXx39RB-SV55-PSQ0,,,,,,,54 mm,,,,,,PLANT-1
GME,GME-SYN-367729,[SYN] GASKET FLEXITALLIC WIYK-ID91-ZDFK-BLCM-PIOY-GGVN 49.34 MM 1500# CNAF SOFT IRON,EACH,CAT-GSK,Gasket,Flexitallic,WIYK-ID91-ZDFK-BLCM-PIOY-GGVN,,49.34 mm,1500#,,,,,,,,,,PLANT-1
GME,GME-SYN-751051,[SYN] CABLE POLYCAB 9K8YC X QK94 SQMM DNMK/ZA3O A529 78 EACH 832.92 AWG 3.3KV XLPE,EACH,CAT-CBL,Cable,Polycab,9K8YC x QK94 sqmm DNMK/ZA3O A529,,,,,,,,,,,,,PLANT-3
